,location,rate,lat,long
0,BTM,3.637437186,45.95485055,-112.4965953
1,Banashankari,3.669204152,15.8876779,75.7046777
2,Banaswadi,3.49625,13.0141618,77.6518539
3,Bannerghatta Road,3.549809886,12.887979,77.5970812
4,Basavanagudi,3.660264901,12.9417261,77.5755021
5,Basaveshwara Nagar,3.641333333,12.9932739,77.5388099
6,Bellandur,3.512692308,12.93577245,77.66676104
7,Bommanahalli,3.249305556,12.9089453,77.6239038
8,Brigade Road,3.789859155,40.28745,-76.964526
9,Brookefield,3.596091205,33.5935063,-79.0345627
10,CV Raman Nagar,3.48125,17.2510682,80.1651978
11,Central Bangalore,3.62,13.0101286,77.5548006
12,Church Street,4.034042553,51.373656,-0.1042366
13,City Market,3.594871795,39.76880625,-86.15345077
14,Commercial Street,3.614285714,51.5227809,-0.0775138
15,Cunningham Road,3.90141844,31.89376,-88.066644
16,Domlur,3.558375635,12.9624669,77.6381958
17,East Bangalore,3.466666667,13.0215466,77.7640586
18,Ejipura,3.445833333,12.945245,77.6269144
19,Electronic City,3.497216274,-6.2659285,106.7842561
20,Frazer Town,3.647761194,12.996845,77.6130165
21,HBR Layout,3.639583333,13.0358698,77.6323597
22,HSR,3.718107589,18.1475,41.538889
23,Hebbal,3.6,13.0382184,77.5919
24,Hennur,3.461016949,13.0258087,77.6305067
25,Hosur Road,3.718518519,12.773175,77.7831871
26,"ITPL Main Road, Whitefield",3.5625,12.967576,77.7150877
27,Indiranagar,3.854563691,12.9732913,77.6404672
28,Infantry Road,3.802380952,34.977289,-78.974578
29,JP Nagar,3.73046875,12.2655944,76.6465404
30,Jalahalli,3.48,11.9917786,76.5066292
31,Jayanagar,3.820663265,27.64392675,83.0528052
32,Jeevan Bhima Nagar,3.587583893,12.9678074,77.6568367
33,KR Puram,3.55,13.007516,77.695935
34,Kaggadasapura,3.506779661,12.9846713,77.6790908
35,Kalyan Nagar,3.746084337,13.0221416,77.6403368
36,Kammanahalli,3.667391304,13.0093455,77.6377094
37,Kanakapura Road,3.485714286,12.5607431,77.4258375
38,Kengeri,3.75,12.9176571,77.4837568
39,Koramangala,3.761764706,13.2923988,77.7519261
40,Koramangala 1st Block,3.730232558,14.5395813,121.070371
41,Koramangala 2nd Block,3.707692308,12.9243509,77.6255562
42,Koramangala 3rd Block,3.976811594,12.9271867,77.6266252
43,Koramangala 4th Block,3.971253823,12.93433385,77.6304064
44,Koramangala 5th Block,4.078548559,12.9343774,77.628415
45,Koramangala 6th Block,3.846049046,12.9400321,77.6203272
46,Koramangala 7th Block,3.892257218,12.9302645,77.6332585
47,Koramangala 8th Block,3.735714286,12.9417812,77.6160146
48,Kumaraswamy Layout,3.497752809,12.9081487,77.5553179
49,Langford Town,3.614285714,12.957998,77.6037312
50,Lavelle Road,4.1785,40.7652844,-76.373824
51,MG Road,3.952464789,17.9895618,79.5967057
52,Magadi Road,3.41875,12.945048,77.263004
53,Majestic,3.512121212,1.2847055,103.8432066
54,Malleshwaram,3.838283828,13.0027353,77.5703253
55,Marathahalli,3.548747017,12.9552572,77.6984163
56,Mysore Road,3.644444444,12.3872141,76.6669626
57,Nagarbhavi,3.4,12.9546741,77.5121724
58,Nagawara,3.507777778,13.2227,78.5541977
59,New BEL Road,3.697378277,13.0346384,77.5681733
60,North Bangalore,3.333333333,13.0217151,77.7660547
61,Old Airport Road,3.635526316,1.3061622,103.8822692
62,Old Madras Road,3.3,13.194416,78.7011301
63,Peenya,3.2,13.0329419,77.5273253
64,RT Nagar,3.476086957,13.0227204,77.595715
65,Race Course Road,3.905263158,1.306731,103.8497839
66,Rajajinagar,3.668584071,12.9882338,77.554883
67,Rajarajeshwari Nagar,3.85,12.9274413,77.5155224
69,Residency Road,3.951890756,38.7385916,-77.5275749
70,Richmond Road,3.924456522,50.7721586,0.097727837
71,Sadashiv Nagar,3.81875,15.8782951,74.5084834
72,Sahakara Nagar,3.645,13.0621474,77.58006135
73,Sanjay Nagar,3.579411765,23.1485712,81.6048241
74,Sankey Road,4.021428571,38.7801076,-121.5056438
75,Sarjapur Road,3.645454545,12.9242381,77.6289059
76,Seshadripuram,3.76031746,12.9931876,77.5753419
77,Shanti Nagar,3.554074074,12.9575547,77.5979099
78,Shivajinagar,3.521917808,18.5322493,73.84996011
79,South Bangalore,3.48,13.0646907,77.49626896
80,St. Marks Road,4.067692308,51.5227651,-0.7354457
81,Thippasandra,3.538636364,12.973936,77.6509982
82,Ulsoor,3.797818182,12.9778793,77.6246697
83,Uttarahalli,3.5,12.9055682,77.5455438
84,"Varthur Main Road, Whitefield",3.585915493,12.9414662,77.7470942
85,Vasanth Nagar,3.707843137,12.98872125,77.58516878
86,Vijay Nagar,3.634,22.8359967,69.3405962
87,West Bangalore,3.366666667,13.0011289,77.6325617
88,Whitefield,3.633121019,44.3730577,-71.6118577
89,Wilson Garden,3.488970588,12.9489339,77.5968273
90,Yelahanka,3.7,13.1006982,77.5963454
91,Yeshwantpur,3.504285714,13.02383,77.5529215
